                mar1  chr1               mar2 chr2 fem  mal    LOD
          AFMa245wd5  1             AFM303yf1  2  0.50 0.12   3.79
          AFMa245wd5  1               ATA3G09  2  0.46 0.00   5.15
          AFMa245wd5  1             AFM337yf9  2  0.50 0.17   3.79
          AFMa245wd5  1             AFM296vg9  2  0.50 0.17   3.57
          AFMa245wd5  1            AFMb313yd5  2  0.50 0.17   3.79
          AFMa245wd5  1            AFMa130wg1  2  0.50 0.19   3.14
          AFMa245wd5  1            AFMc018xg5  2  0.50 0.19   3.14
          AFMa230wh1  1                 UT868  2  0.50 0.00   3.31
               UT418  1             AFM303yf1  2  0.50 0.00   3.01
          AFMb349xb9  1                 UT868  2  0.50 0.00   3.31
          AFMb349xb9  1             AFM073ya5  2  0.50 0.00   3.31
          AFMb349xb9  1               ATA3G09  2  0.50 0.05   4.25
           AFM116xf8  1                 UT868  2  0.42 0.00   3.08
           AFM116xf8  1            AFMa305wh9  2  0.50 0.10   3.20
           AFM116xf8  1            AFMb082zd5  2  0.50 0.05   4.30
           AFM116xf8  1             AFM318za9  2  0.00 0.00   3.01
           AFM116xf8  1                 UT668  2  0.33 0.00   3.08
           AFM218zb6  1                UT5146  2  0.50 0.00   4.21
           AFM218zb6  1                 UT868  2  0.50 0.00   3.31
           AFM218zb6  1            AFMa070we9  2  0.50 0.00   3.91
           AFM218zb6  1             AFM331zg5  2  0.50 0.00   4.21
           AFM218zb6  1             AFM331we9  2  0.50 0.00   4.21
           AFM218zb6  1            AFMa108yf1  2  0.50 0.00   3.31
           AFM218zb6  1                  APOB  2  0.50 0.00   3.01
           AFM218zb6  1                Mfd292  2  0.50 0.00   3.31
           AFM218zb6  1             AFM350ye1  2  0.50 0.00   3.31
           AFM218zb6  1             AFM234ya9  2  0.50 0.00   3.31
           AFM218zb6  1              GATA8F07  2  0.50 0.00   3.31
           AFM218zb6  1            AFMa066ze9  2  0.50 0.00   3.01
           AFM123xc3  1             AFM301ze9  3  0.07 0.08   4.06
           AFM147yf8  1             AFM191va5  3  0.21 0.50   3.32
            GATA4H04  1             AFM038xc1  3  0.23 0.33   3.07
          AFMa123ya9  1            AFMa073yf5  3  0.12 0.49   3.24
           AFM247te9  1             AFM318wc5  3  0.25 0.44   3.21
          AFMb049we9  1            AFMb286yb1  3  0.24 0.50   3.20
          AFMb049we9  1             AFM207wb4  3  0.21 0.44   3.19
          AFMb049we9  1            AFMa070yg5  3  0.21 0.39   3.50
          AFMb049we9  1               ACT2E06  3  0.27 0.16   3.85
          AFMb049we9  1            AFMa066wd5  3  0.17 0.50   3.27
          AFMb049we9  1             AFM318wc5  3  0.20 0.46   4.27
          AFMa298yc5  1            GATA112E02  3  0.00 0.50   3.31
           AFM217zc3  1            GATA112E02  3  0.00 0.42   3.48
           AFM217zc3  1                UT5662  3  0.00 0.50   3.31
          AFMa153xe9  1            GATA112E02  3  0.00 0.41   3.61
            ATA43C09  1            GATA112E02  3  0.00 0.40   3.30
            ATA43C09  1                UT6506  3  0.00 0.00   3.31
           AFM343za9  1            GATA112E02  3  0.00 0.48   3.32
            ATA47D07  1            GATA112E02  3  0.00 0.41   3.56
           AFM290vb9  1            GATA112E02  3  0.00 0.50   3.01
             a134vb1  1            GATA112E02  3  0.00 0.42   3.48
             a134vb1  1                UT5662  3  0.00 0.45   3.35
             a134vb1  1             AFM023xg1  3  0.00 0.50   3.01
          AFMb016yb5  1            GATA112E02  3  0.00 0.36   3.67
          AFMb016yb5  1             AFM023xg1  3  0.00 0.00   3.01
           AFM303tg1  1            GATA112E02  3  0.00 0.41   3.63
           AFM303tg1  1             AFM023xg1  3  0.00 0.50   3.01
          AFMb040yb1  1            GATA112E02  3  0.00 0.41   3.60
          AFMb040yb1  1             AFM023xg1  3  0.00 0.50   3.01
          AFM193xb12  1            GATA112E02  3  0.00 0.50   3.31
          AFM193xb12  1                UT6506  3  0.00 0.00   3.31
              UT5123  1            GATA112E02  3  0.00 0.43   3.43
          AFMa048yh1  1            GATA112E02  3  0.00 0.48   3.32
           AFM113xc7  1             AFM023xg1  3  0.00 0.43   3.07
           AFM113xc7  1            AFMb327yb5  3  0.00 0.50   3.91
           AFM113xc7  1            AFMb324zc1  3  0.00 0.47   3.96
          AFMb046xa5  1            GATA112E02  3  0.00 0.46   3.39
          AFMb046xa5  1             AFM023xg1  3  0.00 0.50   3.01
          AFMa300wb9  1            GATA112E02  3  0.00 0.48   3.02
          AFMa300wb9  1            AFMb314yh1  3  0.00 0.50   3.01
          AFMa300wb9  1             AFM023xg1  3  0.00 0.50   3.01
           AFM294zd1  1            GATA112E02  3  0.00 0.42   3.53
           AFM294zd1  1             AFM023xg1  3  0.00 0.50   3.01
           AFM329zh5  1            GATA112E02  3  0.00 0.48   3.32
           AFM329zh5  1             AFM023xg1  3  0.00 0.50   3.01
           GGAA22F10  1            GATA112E02  3  0.00 0.43   3.46
           GGAA22F10  1             AFM023xg1  3  0.00 0.50   3.01
               UT646  1            GATA112E02  3  0.00 0.43   3.10
               UT646  1              GATA8B05  3  0.14 0.35   3.02
          AFMa067xe5  1            GATA112E02  3  0.00 0.47   3.35
          AFMa067xe5  1             AFM023xg1  3  0.00 0.50   3.01
          AFM200yf12  1            GATA112E02  3  0.00 0.43   3.46
          AFM200yf12  1             AFM211we3  3  0.29 0.32   3.19
          AFM200yf12  1             AFM023xg1  3  0.00 0.50   3.01
           AFM259vc1  1            GATA112E02  3  0.00 0.47   3.05
              UT1928  1            AFMa108yc1  3  0.00 0.00   3.31
              UT1928  1            GATA112E02  3  0.00 0.30   3.67
              UT1928  1             AFM207wb4  3  0.00 0.00   3.31
              UT1928  1             AFM339xh1  3  0.00 0.00   3.31
              UT1928  1              GATA8B05  3  0.05 0.10   4.38
              UT1928  1            AFMb314yh1  3  0.00 0.30   3.67
              UT1928  1                UT6506  3  0.00 0.00   3.31
              UT1928  1            AFMc016yd9  3  0.00 0.30   3.67
            ATA20F08  1            GATA112E02  3  0.00 0.48   3.02
            ATA20F08  1                UT6506  3  0.12 0.00   3.24
           AFM311ve1  1            GATA112E02  3  0.00 0.50   3.31
           AFM355te5  1            GATA112E02  3  0.00 0.22   3.95
          AFMa133xc5  1            GATA112E02  3  0.00 0.50   3.31
          AFMa133xc5  1             AFM220xg3  3  0.00 0.50   5.12
          AFMa133xc5  1             AFM164we1  3  0.00 0.50   5.12
          AFMa133xc5  1              GATA8B05  3  0.00 0.50   4.82
          AFMa133xc5  1            AFMb314yh1  3  0.00 0.50   4.21
          AFMa133xc5  1                UT6506  3  0.11 0.00   3.74
          AFMa133xc5  1                UT5662  3  0.00 0.50   4.82
          AFMa133xc5  1             AFM256ya9  3  0.14 0.50   3.44
          AFMa065wd5  1            GATA112E02  3  0.00 0.50   3.31
           AFM234tb6  1            GATA112E02  3  0.00 0.46   3.39
          AFMb346yb5  1            GATA112E02  3  0.00 0.49   3.02
          AFMa134xf9  1            GATA112E02  3  0.00 0.46   3.39
           AFM211xa1  1             AFM276vc9  3  0.05 0.50   4.00
           AFM211xa1  1             AFM312yf5  3  0.15 0.50   3.47
           AFM211xa1  1             AFM183yc3  3  0.06 0.50   3.44
           AFM211xa1  1            GATA112E02  3  0.00 0.50   3.01
           AFM211xa1  1                UT6506  3  0.00 0.00   3.01
           AFM211xa1  1                UT5662  3  0.00 0.50   3.01
           AFM199zd2  1            GATA112E02  3  0.00 0.50   3.31
              UT2521  1             AFM350te5  3  0.50 0.00   3.01
